Timestep 567/1000, Loss: 0.0220
Timestep 568/1000, Loss: 0.0216
Timestep 569/1000, Loss: 0.0214
Timestep 570/1000, Loss: 0.0219
Timestep 571/1000, Loss: 0.0216
Timestep 572/1000, Loss: 0.0219
Timestep 573/1000, Loss: 0.0223
Timestep 574/1000, Loss: 0.0216
Timestep 575/1000, Loss: 0.0224
Timestep 576/1000, Loss: 0.0218
Timestep 577/1000, Loss: 0.0218
Timestep 578/1000, Loss: 0.0218
Timestep 579/1000, Loss: 0.0225
Timestep 580/1000, Loss: 0.0218
Timestep 581/1000, Loss: 0.0220
Timestep 582/1000, Loss: 0.0228
Timestep 583/1000, Loss: 0.0226
Timestep 584/1000, Loss: 0.0221
Timestep 585/1000, Loss: 0.0219
Timestep 586/1000, Loss: 0.0217
Timestep 587/1000, Loss: 0.0217
Timestep 588/1000, Loss: 0.0216
Timestep 589/1000, Loss: 0.0218
Timestep 590/1000, Loss: 0.0217
Timestep 591/1000, Loss: 0.0223
Timestep 592/1000, Loss: 0.0221
Timestep 593/1000, Loss: 0.0229
Timestep 594/1000, Loss: 0.0213
Timestep 595/1000, Loss: 0.0217
Timestep 596/1000, Loss: 0.0214
Timestep 597/1000, Loss: 0.0216
Timestep 598/1000, Loss: 0.0214
Timestep 599/1000, Loss: 0.0217
Timestep 600/1000, Loss: 0.0219
Timestep 601/1000, Loss: 0.0217
Timestep 602/1000, Loss: 0.0221
Timestep 603/1000, Loss: 0.0223
Timestep 604/1000, Loss: 0.0214
Timestep 605/1000, Loss: 0.0216
Timestep 606/1000, Loss: 0.0219
Timestep 607/1000, Loss: 0.0216
Timestep 608/1000, Loss: 0.0219
Timestep 609/1000, Loss: 0.0217
Timestep 610/1000, Loss: 0.0220
Timestep 611/1000, Loss: 0.0222
Timestep 612/1000, Loss: 0.0218
Timestep 613/1000, Loss: 0.0212
Timestep 614/1000, Loss: 0.0217
Timestep 615/1000, Loss: 0.0211
Timestep 616/1000, Loss: 0.0219
Timestep 617/1000, Loss: 0.0216
Timestep 618/1000, Loss: 0.0214
Timestep 619/1000, Loss: 0.0223
Timestep 620/1000, Loss: 0.0219
Timestep 621/1000, Loss: 0.0215
Timestep 622/1000, Loss: 0.0213
Timestep 623/1000, Loss: 0.0220
Timestep 624/1000, Loss: 0.0221
Timestep 625/1000, Loss: 0.0213
Timestep 626/1000, Loss: 0.0222
Timestep 627/1000, Loss: 0.0218
Timestep 628/1000, Loss: 0.0214
Timestep 629/1000, Loss: 0.0219
Timestep 630/1000, Loss: 0.0215
Timestep 631/1000, Loss: 0.0221
Timestep 632/1000, Loss: 0.0221
Timestep 633/1000, Loss: 0.0217
Timestep 634/1000, Loss: 0.0216
Timestep 635/1000, Loss: 0.0219
Timestep 636/1000, Loss: 0.0216
Timestep 637/1000, Loss: 0.0217
Timestep 638/1000, Loss: 0.0216
Timestep 639/1000, Loss: 0.0218
Timestep 640/1000, Loss: 0.0218
Timestep 641/1000, Loss: 0.0219
Timestep 642/1000, Loss: 0.0220
Timestep 643/1000, Loss: 0.0219
Timestep 644/1000, Loss: 0.0221
Timestep 645/1000, Loss: 0.0217
Timestep 646/1000, Loss: 0.0220
Timestep 647/1000, Loss: 0.0212
Timestep 648/1000, Loss: 0.0215
Timestep 649/1000, Loss: 0.0224
Timestep 650/1000, Loss: 0.0213
Timestep 651/1000, Loss: 0.0217
Timestep 652/1000, Loss: 0.0217
Timestep 653/1000, Loss: 0.0208
Timestep 654/1000, Loss: 0.0217
Timestep 655/1000, Loss: 0.0215
Timestep 656/1000, Loss: 0.0216
Timestep 657/1000, Loss: 0.0224
Timestep 658/1000, Loss: 0.0221
Timestep 659/1000, Loss: 0.0225
Timestep 660/1000, Loss: 0.0214
Timestep 661/1000, Loss: 0.0219
Timestep 662/1000, Loss: 0.0214
Timestep 663/1000, Loss: 0.0216
Timestep 664/1000, Loss: 0.0212
Timestep 665/1000, Loss: 0.0221
Timestep 666/1000, Loss: 0.0216
Timestep 667/1000, Loss: 0.0212
Timestep 668/1000, Loss: 0.0219
Timestep 669/1000, Loss: 0.0214
Timestep 670/1000, Loss: 0.0210
Timestep 671/1000, Loss: 0.0215
Timestep 672/1000, Loss: 0.0212
Timestep 673/1000, Loss: 0.0213
Timestep 674/1000, Loss: 0.0214
Timestep 675/1000, Loss: 0.0212
Timestep 676/1000, Loss: 0.0225
Timestep 677/1000, Loss: 0.0210
Timestep 678/1000, Loss: 0.0213
Timestep 679/1000, Loss: 0.0206
Timestep 680/1000, Loss: 0.0211
Timestep 681/1000, Loss: 0.0208
Timestep 682/1000, Loss: 0.0222
Timestep 683/1000, Loss: 0.0216
Timestep 684/1000, Loss: 0.0212
Timestep 685/1000, Loss: 0.0212
Timestep 686/1000, Loss: 0.0214
Timestep 687/1000, Loss: 0.0212
Timestep 688/1000, Loss: 0.0213
Timestep 689/1000, Loss: 0.0214
Timestep 690/1000, Loss: 0.0217
Timestep 691/1000, Loss: 0.0220
Timestep 692/1000, Loss: 0.0217
Timestep 693/1000, Loss: 0.0216
Timestep 694/1000, Loss: 0.0216
Timestep 695/1000, Loss: 0.0215
Timestep 696/1000, Loss: 0.0215
Timestep 697/1000, Loss: 0.0217
Timestep 698/1000, Loss: 0.0212
Timestep 699/1000, Loss: 0.0215
